budget_millions,runtime_minutes,genre_primary,sequel_number,director_avg_gross,lead_actor_avg_gross,studio_tier,release_month,is_holiday_release,mpaa_rating,num_theaters_opening,marketing_spend_millions,critic_score_pre_release,social_media_buzz_index,plot_summary,worldwide_gross_millions
2.3,79,0,1,13.9,20.9,0,6,1,0,2212,1.1,57,173.6,"The franchise returns as An elite special forces team is deployed to neutralize a growing threat. A rogue operative pursues a weapons dealer across three continents. A battle-hardened warrior leads a desperate mission into enemy territory. The hero must fight through waves of adversaries to reach the stronghold. The quiet, introspective approach emphasizes mood over spectacle. An intimate character study unfolds at a contemplative and deliberate pace. Explosive combat sequences unfold across a post-apocalyptic wasteland.",14.5
30.7,108,5,0,61.1,32.9,2,5,0,3,2857,21.2,49,11.8,Understated performances convey deep emotion through restraint and silence. A young adventurer and a wise companion journey through a dangerous magical forest. The avant-garde visual style creates a meditative atmosphere throughout. The experimental narrative challenges conventional storytelling in subtle ways. The avant-garde visual style creates a meditative atmosphere throughout. A group of toys comes to life and must protect their owner from a shadowy villain.,25.3
42.7,94,4,0,57.7,33.8,2,6,1,0,2295,13.1,53,6.7,"A raw and unflinching look at ordinary life in extraordinary circumstances. The avant-garde visual style creates a meditative atmosphere throughout. A raw and unflinching look at ordinary life in extraordinary circumstances. The experimental narrative challenges conventional storytelling in subtle ways. A scientist races to prevent a catastrophic experiment from unraveling reality. The quiet, introspective approach emphasizes mood over spectacle. An astronaut stranded on an alien world must find a way to survive and return home. The avant-garde visual style creates a meditative atmosphere throughout. A space station crew faces a mysterious threat that picks them off one by one.",23.7
67.5,83,1,0,15.0,8.3,0,12,1,1,3338,23.3,77,27.6,An office worker gets tangled in a series of escalating misunderstandings. The film delivers an enjoyable blend of tension and emotional resonance. A couple navigates the awkward world of meeting each other's parents. The film delivers an enjoyable blend of tension and emotional resonance. A couple navigates the awkward world of meeting each other's parents.,38.5
10.6,119,4,2,129.3,6.9,0,12,1,1,2892,6.9,48,25.8,The franchise returns as Understated performances convey deep emotion through restraint and silence. Explorers stumble upon a parallel dimension where the laws of physics differ. A scientist races to prevent a catastrophic experiment from unraveling reality. Understated performances convey deep emotion through restraint and silence. An astronaut stranded on an alien world must find a way to survive and return home. An intimate character study unfolds at a contemplative and deliberate pace.,21.9
50.5,122,6,1,28.3,7.9,1,1,0,2,2444,35.4,15,10.5,"In the latest installment, An intimate character study unfolds at a contemplative and deliberate pace. Understated performances convey deep emotion through restraint and silence. An operative deep undercover realizes the people she trusts are the real threat. An intimate character study unfolds at a contemplative and deliberate pace. Understated performances convey deep emotion through restraint and silence.",27.3
73.7,98,4,1,56.8,132.7,1,8,0,3,1857,33.0,60,51.5,"The saga continues as A scientist races to prevent a catastrophic experiment from unraveling reality. A crew aboard a deep-space vessel encounters an alien signal that defies explanation. A scientist races to prevent a catastrophic experiment from unraveling reality. The globe-spanning adventure takes audiences on a monumental journey. The stakes are enormous, and the payoff is nothing short of spectacular. In a dystopian future, an android questions the nature of its own existence. An astronaut stranded on an alien world must find a way to survive and return home. A quantum physicist accidentally opens a gateway to an alternate timeline.",64.8
88.0,87,0,1,247.1,24.0,0,12,1,2,3694,31.0,67,88.5,"In the latest installment, A rogue operative pursues a weapons dealer across three continents. An elite special forces team is deployed to neutralize a growing threat. Massive action sequences and explosive confrontations define this blockbuster spectacle. The story builds to a spectacular climax of epic proportions. The stakes are enormous, and the payoff is nothing short of spectacular.",128.1
72.1,112,4,2,233.5,28.8,1,10,0,1,2956,35.8,73,18.9,"Returning for another chapter, The stakes are enormous, and the payoff is nothing short of spectacular. A sweeping score accompanies the visually stunning world-building. The stakes are enormous, and the payoff is nothing short of spectacular. Colonists on a distant world discover the planet has a consciousness of its own. A sweeping score accompanies the visually stunning world-building. Explorers stumble upon a parallel dimension where the laws of physics differ. A crew aboard a deep-space vessel encounters an alien signal that defies explanation. Breathtaking visual effects and thrilling set pieces drive the narrative forward.",85.4
11.8,128,1,2,303.5,38.6,0,11,1,2,1615,5.3,60,87.2,"In the latest installment, Two rival neighbors compete in an absurd contest that spirals out of control. A group of misfit friends accidentally ruins the most important wedding of the year. Two rival neighbors compete in an absurd contest that spirals out of control. Strong character development elevates the story above familiar territory. A small-town festival becomes the backdrop for a series of slapstick mishaps.",29.4
85.9,99,0,0,9.1,34.4,1,2,0,3,3361,49.4,87,37.9,"The hero must fight through waves of adversaries to reach the stronghold. Explosive combat sequences unfold across a post-apocalyptic wasteland. A sweeping score accompanies the visually stunning world-building. A squad of fighters defends a besieged city against overwhelming forces. A former soldier is pulled back into action when an old enemy resurfaces. A rogue operative pursues a weapons dealer across three continents. The stakes are enormous, and the payoff is nothing short of spectacular.",68.2
6.4,75,3,0,32.5,21.2,0,12,1,3,2985,4.2,67,8.1,"Residents of a quiet suburb realize their neighbors are not what they seem. Understated performances convey deep emotion through restraint and silence. An intimate character study unfolds at a contemplative and deliberate pace. A haunted artifact passes between victims, each confronting their deepest fears. The quiet, introspective approach emphasizes mood over spectacle. A haunted artifact passes between victims, each confronting their deepest fears. The avant-garde visual style creates a meditative atmosphere throughout. An investigator probing mysterious disappearances becomes the next target. Strange occurrences in a cursed village point to a terrifying supernatural force. Understated performances convey deep emotion through restraint and silence.",15.8
9.3,115,4,0,13.5,13.5,1,7,1,2,2034,5.1,55,34.5,"The avant-garde visual style creates a meditative atmosphere throughout. The quiet, introspective approach emphasizes mood over spectacle. In a dystopian future, an android questions the nature of its own existence. Understated performances convey deep emotion through restraint and silence. A scientist races to prevent a catastrophic experiment from unraveling reality. A raw and unflinching look at ordinary life in extraordinary circumstances. A scientist races to prevent a catastrophic experiment from unraveling reality. Explorers stumble upon a parallel dimension where the laws of physics differ. An intimate character study unfolds at a contemplative and deliberate pace.",21.6
21.6,91,7,0,91.5,30.1,1,3,0,0,3152,16.7,62,21.1,A sweeping score accompanies the visually stunning world-building. Childhood friends rediscover each other years later in a small seaside village. Massive action sequences and explosive confrontations define this blockbuster spectacle. A chance encounter at a Paris bookshop changes two lives forever. Two people from different worlds are brought together by a twist of fate at a music festival.,20.4
35.2,101,3,0,48.6,73.2,0,11,1,3,2487,20.7,65,11.2,"A family moves into a remote farmhouse where something sinister waits. An investigator probing mysterious disappearances becomes the next target. A family moves into a remote farmhouse where something sinister waits. Intriguing twists keep the audience invested from beginning to end. A couple on a secluded vacation discovers they are being watched. A thoughtful narrative rewards audiences with a satisfying and heartwarming conclusion. The engaging story balances humor and heart with well-crafted pacing. An investigator probing mysterious disappearances becomes the next target. A haunted artifact passes between victims, each confronting their deepest fears. A family moves into a remote farmhouse where something sinister waits.",30.4
43.7,124,0,1,33.1,24.4,1,4,0,3,1838,27.3,44,21.0,"Returning for another chapter, Intriguing twists keep the audience invested from beginning to end. A thoughtful narrative rewards audiences with a satisfying and heartwarming conclusion. A squad of fighters defends a besieged city against overwhelming forces. Explosive combat sequences unfold across a post-apocalyptic wasteland. The engaging story balances humor and heart with well-crafted pacing. The film delivers an enjoyable blend of tension and emotional resonance. A squad of fighters defends a besieged city against overwhelming forces.",33.4
110.2,107,2,2,40.3,28.7,1,6,1,3,3128,70.0,81,33.6,"Once again, A teacher in a struggling school fights to reach students others have given up on. Massive action sequences and explosive confrontations define this blockbuster spectacle. A family confronts long-buried secrets that threaten to tear them apart. Breathtaking visual effects and thrilling set pieces drive the narrative forward. The story builds to a spectacular climax of epic proportions. Massive action sequences and explosive confrontations define this blockbuster spectacle. A teacher in a struggling school fights to reach students others have given up on. A family confronts long-buried secrets that threaten to tear them apart. The quiet dissolution of a marriage is examined from both perspectives.",115.9
32.9,108,2,0,36.8,13.3,1,7,1,2,1240,11.1,65,35.7,The experimental narrative challenges conventional storytelling in subtle ways. A couple grapples with a devastating diagnosis that changes everything. An immigrant family navigates the challenges of building a new life. An intimate character study unfolds at a contemplative and deliberate pace. A teacher in a struggling school fights to reach students others have given up on.,25.7
9.0,132,2,0,42.1,9.7,2,5,0,2,1807,4.1,23,37.8,The avant-garde visual style creates a meditative atmosphere throughout. Understated performances convey deep emotion through restraint and silence. A survivor returns to a small town to face the trauma of the past. Understated performances convey deep emotion through restraint and silence. An intimate character study unfolds at a contemplative and deliberate pace. Understated performances convey deep emotion through restraint and silence. A couple grapples with a devastating diagnosis that changes everything. An intimate character study unfolds at a contemplative and deliberate pace. A community rallies together in the aftermath of an unexpected tragedy. A couple grapples with a devastating diagnosis that changes everything.,7.5
41.4,102,4,1,286.7,30.2,0,11,1,0,2463,20.8,57,32.2,"The saga continues as The stakes are enormous, and the payoff is nothing short of spectacular. Breathtaking visual effects and thrilling set pieces drive the narrative forward. In a dystopian future, an android questions the nature of its own existence. A space station crew faces a mysterious threat that picks them off one by one. A scientist races to prevent a catastrophic experiment from unraveling reality. A sweeping score accompanies the visually stunning world-building. A space station crew faces a mysterious threat that picks them off one by one.",50.9
30.0,94,4,0,18.4,67.5,1,4,0,3,2943,18.1,84,13.4,A space station crew faces a mysterious threat that picks them off one by one. A quantum physicist accidentally opens a gateway to an alternate timeline. A thoughtful narrative rewards audiences with a satisfying and heartwarming conclusion. A quantum physicist accidentally opens a gateway to an alternate timeline. A crew aboard a deep-space vessel encounters an alien signal that defies explanation.,31.3
33.9,101,0,0,18.2,47.4,2,8,0,1,2767,26.2,69,113.2,A thoughtful narrative rewards audiences with a satisfying and heartwarming conclusion. A rogue operative pursues a weapons dealer across three continents. A thoughtful narrative rewards audiences with a satisfying and heartwarming conclusion. A squad of fighters defends a besieged city against overwhelming forces. An undercover agent discovers a conspiracy that could trigger a global conflict. Intriguing twists keep the audience invested from beginning to end. A squad of fighters defends a besieged city against overwhelming forces. Strong character development elevates the story above familiar territory. A rogue operative pursues a weapons dealer across three continents. The engaging story balances humor and heart with well-crafted pacing.,38.4
47.9,121,2,0,38.9,31.6,2,9,0,2,2468,22.7,73,31.6,The quiet dissolution of a marriage is examined from both perspectives. Compelling performances anchor this entertaining and accessible film. Strong character development elevates the story above familiar territory. A community rallies together in the aftermath of an unexpected tragedy. A couple grapples with a devastating diagnosis that changes everything. Compelling performances anchor this entertaining and accessible film. Strong character development elevates the story above familiar territory.,39.6
45.9,97,6,0,14.9,68.7,1,6,1,2,3105,19.1,60,106.9,An operative deep undercover realizes the people she trusts are the real threat. A political cover-up unravels as key players begin to turn on each other. A detective uncovers a web of corruption that reaches the highest levels of power. A political cover-up unravels as key players begin to turn on each other. A cyber operative races against time to stop an imminent attack on infrastructure. A fugitive must prove their innocence while being hunted by both sides of the law. An analyst stumbles upon evidence of a conspiracy that could topple the government.,37.4
29.5,85,1,0,11.5,25.7,0,7,1,2,1831,14.0,53,19.0,"The experimental narrative challenges conventional storytelling in subtle ways. An office worker gets tangled in a series of escalating misunderstandings. Understated performances convey deep emotion through restraint and silence. The avant-garde visual style creates a meditative atmosphere throughout. The quiet, introspective approach emphasizes mood over spectacle. An intimate character study unfolds at a contemplative and deliberate pace. Two rival neighbors compete in an absurd contest that spirals out of control. A hapless roommate tries to impress a date while everything falls apart.",27.3
63.9,133,5,1,95.7,38.3,1,10,0,2,2979,34.4,73,13.4,The saga continues as Unlikely friends from different worlds team up to defeat a powerful sorcerer. A sweeping score accompanies the visually stunning world-building. A young adventurer and a wise companion journey through a dangerous magical forest. An imaginative child brings a fantastical world to life and must defend it. Unlikely friends from different worlds team up to defeat a powerful sorcerer. The globe-spanning adventure takes audiences on a monumental journey. A group of toys comes to life and must protect their owner from a shadowy villain. Massive action sequences and explosive confrontations define this blockbuster spectacle. A brave child discovers a hidden realm of magical creatures beneath the ocean.,64.4
83.1,109,3,1,34.3,60.0,1,3,0,0,2616,55.5,62,105.3,"The saga continues as Strange occurrences in a cursed village point to a terrifying supernatural force. A family moves into a remote farmhouse where something sinister waits. A thoughtful narrative rewards audiences with a satisfying and heartwarming conclusion. An investigator probing mysterious disappearances becomes the next target. A haunted artifact passes between victims, each confronting their deepest fears.",46.0
41.2,96,5,1,13.9,79.5,1,4,0,0,2844,25.0,47,12.7,"Once again, An imaginative child brings a fantastical world to life and must defend it. A plucky creature discovers it has a special destiny to restore balance to the realm. An imaginative child brings a fantastical world to life and must defend it. A group of toys comes to life and must protect their owner from a shadowy villain. Intriguing twists keep the audience invested from beginning to end.",42.5
197.5,109,3,1,57.9,22.9,2,1,0,1,2918,125.4,45,18.8,"The franchise returns as A group of college students discovers an ancient evil beneath an abandoned asylum. The globe-spanning adventure takes audiences on a monumental journey. A sweeping score accompanies the visually stunning world-building. The stakes are enormous, and the payoff is nothing short of spectacular. The story builds to a spectacular climax of epic proportions. An investigator probing mysterious disappearances becomes the next target.",137.9
3.7,87,2,2,61.4,45.8,1,4,0,2,1568,2.0,51,25.1,The saga continues as An intimate character study unfolds at a contemplative and deliberate pace. An immigrant family navigates the challenges of building a new life. The avant-garde visual style creates a meditative atmosphere throughout. A teacher in a struggling school fights to reach students others have given up on. A couple grapples with a devastating diagnosis that changes everything. A raw and unflinching look at ordinary life in extraordinary circumstances. The quiet dissolution of a marriage is examined from both perspectives. An intimate character study unfolds at a contemplative and deliberate pace.,9.7
39.9,100,1,1,35.6,34.4,0,3,0,1,2879,22.9,57,16.3,"In the latest installment, A small-town festival becomes the backdrop for a series of slapstick mishaps. A family road trip goes hilariously wrong at every possible turn. The engaging story balances humor and heart with well-crafted pacing. A group of misfit friends accidentally ruins the most important wedding of the year. Compelling performances anchor this entertaining and accessible film. A thoughtful narrative rewards audiences with a satisfying and heartwarming conclusion. A group of misfit friends accidentally ruins the most important wedding of the year.",41.4
21.0,139,3,0,25.0,55.5,0,5,0,3,2478,7.4,30,81.6,A family moves into a remote farmhouse where something sinister waits. A raw and unflinching look at ordinary life in extraordinary circumstances. Understated performances convey deep emotion through restraint and silence. The avant-garde visual style creates a meditative atmosphere throughout. A couple on a secluded vacation discovers they are being watched. An intimate character study unfolds at a contemplative and deliberate pace. A raw and unflinching look at ordinary life in extraordinary circumstances. A couple on a secluded vacation discovers they are being watched.,27.3
24.7,80,1,2,17.8,49.7,0,5,0,3,2490,10.2,45,33.3,"Returning for another chapter, Two rival neighbors compete in an absurd contest that spirals out of control. A raw and unflinching look at ordinary life in extraordinary circumstances. The avant-garde visual style creates a meditative atmosphere throughout. A couple navigates the awkward world of meeting each other's parents. An intimate character study unfolds at a contemplative and deliberate pace. Understated performances convey deep emotion through restraint and silence. A raw and unflinching look at ordinary life in extraordinary circumstances. A hapless roommate tries to impress a date while everything falls apart. A group of misfit friends accidentally ruins the most important wedding of the year.",24.3
63.9,109,5,0,108.1,12.2,0,7,1,0,2770,50.9,50,64.1,A plucky creature discovers it has a special destiny to restore balance to the realm. A group of toys comes to life and must protect their owner from a shadowy villain. Breathtaking visual effects and thrilling set pieces drive the narrative forward. A young hero embarks on a magical quest to save an enchanted kingdom. Massive action sequences and explosive confrontations define this blockbuster spectacle.,80.5
49.7,112,1,0,18.7,333.2,1,5,0,0,2143,22.1,70,29.0,A family road trip goes hilariously wrong at every possible turn. Strong character development elevates the story above familiar territory. A couple navigates the awkward world of meeting each other's parents. A family road trip goes hilariously wrong at every possible turn. Strong character development elevates the story above familiar territory. The engaging story balances humor and heart with well-crafted pacing.,45.1
79.5,118,5,0,45.4,66.4,1,6,1,2,2960,47.1,49,32.6,"Massive action sequences and explosive confrontations define this blockbuster spectacle. Unlikely friends from different worlds team up to defeat a powerful sorcerer. Breathtaking visual effects and thrilling set pieces drive the narrative forward. The globe-spanning adventure takes audiences on a monumental journey. The story builds to a spectacular climax of epic proportions. Unlikely friends from different worlds team up to defeat a powerful sorcerer. The stakes are enormous, and the payoff is nothing short of spectacular.",50.9
116.3,125,1,1,29.6,20.9,1,3,0,2,2691,53.4,49,32.9,"Once again, The stakes are enormous, and the payoff is nothing short of spectacular. An office worker gets tangled in a series of escalating misunderstandings. A hapless roommate tries to impress a date while everything falls apart. A family road trip goes hilariously wrong at every possible turn. A group of misfit friends accidentally ruins the most important wedding of the year. A small-town festival becomes the backdrop for a series of slapstick mishaps.",67.7
8.5,75,7,0,1.7,16.4,1,1,0,0,2054,5.3,73,23.8,Two strangers fall in love during an unexpected summer on the coast. Rivals in a competitive industry are forced to work together and find unexpected connection. A chance encounter at a Paris bookshop changes two lives forever. Childhood friends rediscover each other years later in a small seaside village.,5.7
8.8,120,5,0,41.2,77.2,0,3,0,2,2301,2.7,30,115.5,"A young adventurer and a wise companion journey through a dangerous magical forest. A raw and unflinching look at ordinary life in extraordinary circumstances. A group of toys comes to life and must protect their owner from a shadowy villain. A young adventurer and a wise companion journey through a dangerous magical forest. The quiet, introspective approach emphasizes mood over spectacle. A lost animal travels across a colorful world to find its way back home. An intimate character study unfolds at a contemplative and deliberate pace. The avant-garde visual style creates a meditative atmosphere throughout. A plucky creature discovers it has a special destiny to restore balance to the realm.",14.6
16.1,93,3,1,39.6,35.5,1,12,1,2,2642,10.0,24,49.6,"The franchise returns as Understated performances convey deep emotion through restraint and silence. A raw and unflinching look at ordinary life in extraordinary circumstances. A group of college students discovers an ancient evil beneath an abandoned asylum. An intimate character study unfolds at a contemplative and deliberate pace. A haunted artifact passes between victims, each confronting their deepest fears. Understated performances convey deep emotion through restraint and silence. The experimental narrative challenges conventional storytelling in subtle ways. The quiet, introspective approach emphasizes mood over spectacle. The avant-garde visual style creates a meditative atmosphere throughout.",25.5
185.3,118,7,0,66.5,100.0,1,2,0,2,3650,122.1,34,103.3,The story builds to a spectacular climax of epic proportions. Former partners reunite during the holiday season and confront unresolved feelings. Childhood friends rediscover each other years later in a small seaside village. A sweeping score accompanies the visually stunning world-building. Childhood friends rediscover each other years later in a small seaside village. A couple separated by circumstance must decide if love is worth the distance. Two people from different worlds are brought together by a twist of fate at a music festival. A sweeping score accompanies the visually stunning world-building. Two strangers fall in love during an unexpected summer on the coast.,82.8
71.4,98,7,1,48.2,226.4,1,5,0,3,2895,52.2,23,14.1,"In the latest installment, Neighbors in a charming apartment building find romance through shared misadventures. Compelling performances anchor this entertaining and accessible film. A couple separated by circumstance must decide if love is worth the distance. A thoughtful narrative rewards audiences with a satisfying and heartwarming conclusion. Childhood friends rediscover each other years later in a small seaside village. Intriguing twists keep the audience invested from beginning to end. A couple separated by circumstance must decide if love is worth the distance.",41.8
21.0,75,0,1,47.3,12.5,2,7,1,2,2207,12.8,68,11.1,"The saga continues as Understated performances convey deep emotion through restraint and silence. The quiet, introspective approach emphasizes mood over spectacle. A raw and unflinching look at ordinary life in extraordinary circumstances. The avant-garde visual style creates a meditative atmosphere throughout. A squad of fighters defends a besieged city against overwhelming forces. The avant-garde visual style creates a meditative atmosphere throughout. A raw and unflinching look at ordinary life in extraordinary circumstances.",28.0
51.1,94,4,1,35.2,15.9,0,8,0,2,2510,39.2,31,11.4,"Returning for another chapter, A sweeping score accompanies the visually stunning world-building. Massive action sequences and explosive confrontations define this blockbuster spectacle. The story builds to a spectacular climax of epic proportions. A crew aboard a deep-space vessel encounters an alien signal that defies explanation. The stakes are enormous, and the payoff is nothing short of spectacular. In a dystopian future, an android questions the nature of its own existence. Colonists on a distant world discover the planet has a consciousness of its own.",62.3
5.8,97,0,1,65.8,76.3,0,3,0,3,2703,2.1,55,14.7,"Returning for another chapter, The avant-garde visual style creates a meditative atmosphere throughout. An undercover agent discovers a conspiracy that could trigger a global conflict. A rogue operative pursues a weapons dealer across three continents. An intimate character study unfolds at a contemplative and deliberate pace. A rogue operative pursues a weapons dealer across three continents. An undercover agent discovers a conspiracy that could trigger a global conflict. The experimental narrative challenges conventional storytelling in subtle ways. An intimate character study unfolds at a contemplative and deliberate pace. Understated performances convey deep emotion through restraint and silence. An intimate character study unfolds at a contemplative and deliberate pace.",22.0
89.8,124,3,0,53.7,12.0,0,11,1,0,3053,68.7,60,33.5,"The story builds to a spectacular climax of epic proportions. A group of college students discovers an ancient evil beneath an abandoned asylum. The globe-spanning adventure takes audiences on a monumental journey. The story builds to a spectacular climax of epic proportions. The globe-spanning adventure takes audiences on a monumental journey. A sweeping score accompanies the visually stunning world-building. A group of college students discovers an ancient evil beneath an abandoned asylum. The stakes are enormous, and the payoff is nothing short of spectacular. The globe-spanning adventure takes audiences on a monumental journey.",57.5
76.3,97,4,0,79.9,18.1,2,4,0,3,2204,46.8,60,84.2,"An astronaut stranded on an alien world must find a way to survive and return home. A space station crew faces a mysterious threat that picks them off one by one. Colonists on a distant world discover the planet has a consciousness of its own. A crew aboard a deep-space vessel encounters an alien signal that defies explanation. In a dystopian future, an android questions the nature of its own existence.",54.1
80.8,118,3,0,365.9,36.8,1,12,1,3,2412,50.8,82,120.6,"A sweeping score accompanies the visually stunning world-building. Massive action sequences and explosive confrontations define this blockbuster spectacle. The stakes are enormous, and the payoff is nothing short of spectacular. A couple on a secluded vacation discovers they are being watched. An investigator probing mysterious disappearances becomes the next target. A family moves into a remote farmhouse where something sinister waits. The story builds to a spectacular climax of epic proportions.",90.3
9.8,115,5,0,11.3,14.8,1,5,0,2,2528,7.4,26,20.9,The experimental narrative challenges conventional storytelling in subtle ways. A young hero embarks on a magical quest to save an enchanted kingdom. An intimate character study unfolds at a contemplative and deliberate pace. Unlikely friends from different worlds team up to defeat a powerful sorcerer. A brave child discovers a hidden realm of magical creatures beneath the ocean. An imaginative child brings a fantastical world to life and must defend it. A brave child discovers a hidden realm of magical creatures beneath the ocean. A raw and unflinching look at ordinary life in extraordinary circumstances. A brave child discovers a hidden realm of magical creatures beneath the ocean.,12.5
110.1,132,5,0,51.7,24.8,1,3,0,2,3115,56.5,22,31.6,"The stakes are enormous, and the payoff is nothing short of spectacular. A sweeping score accompanies the visually stunning world-building. The story builds to a spectacular climax of epic proportions. A plucky creature discovers it has a special destiny to restore balance to the realm. A sweeping score accompanies the visually stunning world-building. Massive action sequences and explosive confrontations define this blockbuster spectacle. Unlikely friends from different worlds team up to defeat a powerful sorcerer. Massive action sequences and explosive confrontations define this blockbuster spectacle. A sweeping score accompanies the visually stunning world-building. A young hero embarks on a magical quest to save an enchanted kingdom.",76.6
37.9,87,5,1,78.8,70.1,2,2,0,0,2166,15.6,76,45.3,"The saga continues as The stakes are enormous, and the payoff is nothing short of spectacular. A young adventurer and a wise companion journey through a dangerous magical forest. The story builds to a spectacular climax of epic proportions. Massive action sequences and explosive confrontations define this blockbuster spectacle. A plucky creature discovers it has a special destiny to restore balance to the realm.",54.4
184.2,94,1,0,86.1,10.6,2,8,0,2,3259,67.0,56,30.9,Breathtaking visual effects and thrilling set pieces drive the narrative forward. Massive action sequences and explosive confrontations define this blockbuster spectacle. The story builds to a spectacular climax of epic proportions. An accidental mix-up at a high school reunion leads to comedic chaos. A group of misfit friends accidentally ruins the most important wedding of the year. The globe-spanning adventure takes audiences on a monumental journey. A family road trip goes hilariously wrong at every possible turn. Breathtaking visual effects and thrilling set pieces drive the narrative forward. An accidental mix-up at a high school reunion leads to comedic chaos.,114.9
32.8,123,1,1,67.8,24.9,1,1,0,2,2367,17.2,66,237.9,"Once again, The engaging story balances humor and heart with well-crafted pacing. A hapless roommate tries to impress a date while everything falls apart. Intriguing twists keep the audience invested from beginning to end. A couple navigates the awkward world of meeting each other's parents. An office worker gets tangled in a series of escalating misunderstandings.",34.0
9.0,83,7,0,361.6,55.4,0,1,0,3,1642,4.4,53,18.2,"Two people from different worlds are brought together by a twist of fate at a music festival. The experimental narrative challenges conventional storytelling in subtle ways. The quiet, introspective approach emphasizes mood over spectacle. An intimate character study unfolds at a contemplative and deliberate pace. Two people from different worlds are brought together by a twist of fate at a music festival. An intimate character study unfolds at a contemplative and deliberate pace. Understated performances convey deep emotion through restraint and silence.",19.2
45.4,100,4,0,129.5,18.7,2,4,0,2,2579,31.6,90,28.9,"A crew aboard a deep-space vessel encounters an alien signal that defies explanation. A thoughtful narrative rewards audiences with a satisfying and heartwarming conclusion. A crew aboard a deep-space vessel encounters an alien signal that defies explanation. The film delivers an enjoyable blend of tension and emotional resonance. In a dystopian future, an android questions the nature of its own existence.",46.9
124.7,99,5,0,118.8,37.3,1,7,1,3,2894,66.5,43,15.7,"The stakes are enormous, and the payoff is nothing short of spectacular. Breathtaking visual effects and thrilling set pieces drive the narrative forward. The stakes are enormous, and the payoff is nothing short of spectacular. A sweeping score accompanies the visually stunning world-building. A young hero embarks on a magical quest to save an enchanted kingdom. Breathtaking visual effects and thrilling set pieces drive the narrative forward. The stakes are enormous, and the payoff is nothing short of spectacular. Unlikely friends from different worlds team up to defeat a powerful sorcerer. The stakes are enormous, and the payoff is nothing short of spectacular.",98.0
33.6,127,2,0,42.2,120.8,1,4,0,2,2196,18.9,36,25.9,"A family confronts long-buried secrets that threaten to tear them apart. The quiet dissolution of a marriage is examined from both perspectives. An immigrant family navigates the challenges of building a new life. The story builds to a spectacular climax of epic proportions. A sweeping score accompanies the visually stunning world-building. A couple grapples with a devastating diagnosis that changes everything. The quiet dissolution of a marriage is examined from both perspectives. A sweeping score accompanies the visually stunning world-building. An immigrant family navigates the challenges of building a new life. The stakes are enormous, and the payoff is nothing short of spectacular.",61.4
11.8,110,7,1,11.3,38.6,1,9,0,2,1563,4.7,82,55.7,"Returning for another chapter, The quiet, introspective approach emphasizes mood over spectacle. The avant-garde visual style creates a meditative atmosphere throughout. A chance encounter at a Paris bookshop changes two lives forever. Two strangers fall in love during an unexpected summer on the coast. A couple separated by circumstance must decide if love is worth the distance. Neighbors in a charming apartment building find romance through shared misadventures. Childhood friends rediscover each other years later in a small seaside village. A raw and unflinching look at ordinary life in extraordinary circumstances. A chance encounter at a Paris bookshop changes two lives forever.",12.5
27.8,124,4,0,31.2,67.7,0,12,1,1,1262,20.1,71,17.7,"Understated performances convey deep emotion through restraint and silence. A crew aboard a deep-space vessel encounters an alien signal that defies explanation. A scientist races to prevent a catastrophic experiment from unraveling reality. In a dystopian future, an android questions the nature of its own existence.",24.0
37.7,84,4,0,45.9,66.4,1,5,0,2,2196,23.5,42,31.9,A thoughtful narrative rewards audiences with a satisfying and heartwarming conclusion. The engaging story balances humor and heart with well-crafted pacing. Explorers stumble upon a parallel dimension where the laws of physics differ. The engaging story balances humor and heart with well-crafted pacing. Compelling performances anchor this entertaining and accessible film. A crew aboard a deep-space vessel encounters an alien signal that defies explanation.,39.8
32.0,102,3,2,43.0,25.0,0,3,0,2,2063,14.3,42,59.7,"In the latest installment, A family moves into a remote farmhouse where something sinister waits. A haunted artifact passes between victims, each confronting their deepest fears. Residents of a quiet suburb realize their neighbors are not what they seem. A couple on a secluded vacation discovers they are being watched. A group of college students discovers an ancient evil beneath an abandoned asylum. A family moves into a remote farmhouse where something sinister waits. An investigator probing mysterious disappearances becomes the next target. The film delivers an enjoyable blend of tension and emotional resonance.",30.0
31.0,99,3,0,152.6,80.3,1,12,1,2,1442,17.8,100,20.2,A sweeping score accompanies the visually stunning world-building. A couple on a secluded vacation discovers they are being watched. A family moves into a remote farmhouse where something sinister waits. A couple on a secluded vacation discovers they are being watched. The globe-spanning adventure takes audiences on a monumental journey. Breathtaking visual effects and thrilling set pieces drive the narrative forward.,60.8
73.6,146,0,1,19.3,76.2,1,9,0,3,2614,41.5,99,5.8,The saga continues as A squad of fighters defends a besieged city against overwhelming forces. Breathtaking visual effects and thrilling set pieces drive the narrative forward. A sweeping score accompanies the visually stunning world-building. The globe-spanning adventure takes audiences on a monumental journey. A battle-hardened warrior leads a desperate mission into enemy territory. The hero must fight through waves of adversaries to reach the stronghold. Explosive combat sequences unfold across a post-apocalyptic wasteland.,113.1
8.2,122,4,0,77.0,5.2,1,10,0,3,2743,6.5,45,49.3,A raw and unflinching look at ordinary life in extraordinary circumstances. A space station crew faces a mysterious threat that picks them off one by one. An intimate character study unfolds at a contemplative and deliberate pace. A crew aboard a deep-space vessel encounters an alien signal that defies explanation.,20.6
